Ozone Longitude Latitude Altitude
28.380571 -72.679923 41.771444 8
20.662824 -72.631667 41.784722 15
6.006051 -73.297257 41.821342 505
28.138827 -72.902871 41.3014 3.6
24.845714 -75.558056 39.739444 0
26.421159 -77.013178 38.921847 50
23.296944 -77.016715 38.970092 15
29.775355 -76.953426 38.89477 25
5.274627 -68.033006 46.696431 540
23.967593 -76.474444 39.310833 5
4.381977 -79.012 39.70595 776.63
30.99422 -76.84611 39.14313 10
17.761864 -76.878333 39.055277 49
28.990606 -76.604603 39.297733 12
15.818182 -70.970816 42.474642 52
9.220339 -70.817783 42.814412 2
15.852778 -72.555112 42.19438 79
25.076487 -72.590803 42.108992 31
6.042614 -72.334079 42.298493 312
10.914601 -71.11397 42.211774 192
29.097421 -71.097163 42.348873 6
26.926471 -71.0826 42.3295 6
27.746398 -71.056061 42.325186 15
25.397759 -71.794322 42.263955 145
7.297507 -71.380172 42.862536 108
34.8314915 -73.966212 40.853579 87
26.709497 -75.125291 39.934446 4
31.173554 -74.192892 40.720989 27
28.653846 -74.2005 40.757501 48
31.560907 -74.126081 40.67025 3
21.736301 -74.429439 40.462182 19
8.831461 -74.676301 40.787628 278
37.380822 -74.208365 40.64144 5
26.813031 -75.067815 40.92458 146
3.018595 -71.72 41.615237 67
21.102874 -71.405278 41.825556 55
35.456657 -71.417457 41.829495 23
16.966761 -71.36097 41.841039 15
14.033705 -73.2106 44.4762 63.1
17.341551 -72.982778 43.608056 165
